STATE/UT,YEAR,DEMOGRAPHIC PARTICULARS,Male Convicts,Female Convicts,Total Convicts,Male Under trial,Female Under trial,Total Under trial,Male Detenues,Female Detenues,Total Detenues,Male Others,Female Others,Total Others,Total Male,Total Female,Grand Total
ASSAM,2009,Educational Standard,3235,92,3327,4619,205,4824,7,2,9,0,0,0,7861,299,8160
ASSAM,2009,Educational Standard - Illiterate,964,34,998,1685,91,1776,2,0,2,0,0,0,2651,125,2776
ASSAM,2009,Educational Standard - Below Class X,1796,51,1847,2137,94,2231,4,2,6,0,0,0,3937,147,4084
ASSAM,2009,Educational Standard - Class X and above but below graduate,419,6,425,682,8,690,1,0,1,0,0,0,1102,14,1116
ASSAM,2009,Educational Standard - Graduate,43,1,44,92,10,102,0,0,0,0,0,0,135,11,146
ASSAM,2009,Educational Standard - Post-Graduate,3,0,3,7,2,9,0,0,0,0,0,0,10,2,12
ASSAM,2009,Educational Standard - Holding technical degree/diploma etc,10,0,10,16,0,16,0,0,0,0,0,0,26,0,26
ASSAM,2010,Educational Standard,3166,98,3264,4480,175,4655,3,0,3,0,0,0,7649,273,7922
ASSAM,2010,Educational Standard - Illiterate,858,37,895,1780,87,1867,0,0,0,0,0,0,2638,124,2762
ASSAM,2010,Educational Standard - Below Class X,1607,42,1649,1947,79,2026,2,0,2,0,0,0,3556,121,3677
ASSAM,2010,Educational Standard - Class X and above but below graduate,660,18,678,598,9,607,1,0,1,0,0,0,1259,27,1286
ASSAM,2010,Educational Standard - Graduate,28,1,29,147,0,147,0,0,0,0,0,0,175,1,176
ASSAM,2010,Educational Standard - Post-Graduate,6,0,6,5,0,5,0,0,0,0,0,0,11,0,11
ASSAM,2010,Educational Standard - Holding technical degree/diploma etc,7,0,7,3,0,3,0,0,0,0,0,0,10,0,10
ASSAM,2011,Educational Standard,3046,91,3137,4859,207,5066,0,0,0,0,0,0,7905,298,8203
ASSAM,2011,Educational Standard - Illiterate,827,35,862,1851,92,1943,0,0,0,0,0,0,2678,127,2805
ASSAM,2011,Educational Standard - Below Class X,1530,40,1570,2075,104,2179,0,0,0,0,0,0,3605,144,3749
ASSAM,2011,Educational Standard - Class X and above but below graduate,653,15,668,721,11,732,0,0,0,0,0,0,1374,26,1400
ASSAM,2011,Educational Standard - Graduate,25,1,26,197,0,197,0,0,0,0,0,0,222,1,223
ASSAM,2011,Educational Standard - Post-Graduate,5,0,5,7,0,7,0,0,0,0,0,0,12,0,12
ASSAM,2011,Educational Standard - Holding technical degree/diploma etc,6,0,6,8,0,8,0,0,0,0,0,0,14,0,14
ASSAM,2012,Educational Standard,3062,108,3170,4915,183,5098,3,0,3,0,0,0,7980,291,8271
ASSAM,2012,Educational Standard - Illiterate,849,40,889,1870,82,1952,0,0,0,0,0,0,2719,122,2841
ASSAM,2012,Educational Standard - Below Class X,1530,45,1575,2100,91,2191,1,0,1,0,0,0,3631,136,3767
ASSAM,2012,Educational Standard - Class X and above but below graduate,642,21,663,728,10,738,2,0,2,0,0,0,1372,31,1403
ASSAM,2012,Educational Standard - Graduate,26,2,28,200,0,200,0,0,0,0,0,0,226,2,228
ASSAM,2012,Educational Standard - Post-Graduate,8,0,8,8,0,8,0,0,0,0,0,0,16,0,16
ASSAM,2012,Educational Standard - Holding technical degree/diploma etc,7,0,7,9,0,9,0,0,0,0,0,0,16,0,16
BIHAR,2001,Educational Standard,4987,78,5065,30000,793,30793,12,0,12,37,0,37,35036,871,35907
BIHAR,2001,Educational Standard - Illiterate,2074,43,2117,16567,310,16877,3,0,3,4,0,4,18648,353,19001
BIHAR,2001,Educational Standard - Below Class X,1122,19,1141,6126,228,6354,2,0,2,6,0,6,7256,247,7503
BIHAR,2001,Educational Standard - Class X and above but below graduate,1001,16,1017,5031,137,5168,5,0,5,13,0,13,6050,153,6203
BIHAR,2001,Educational Standard - Graduate,705,0,705,1484,84,1568,2,0,2,9,0,9,2200,84,2284
BIHAR,2001,Educational Standard - Post-Graduate,64,0,64,688,25,713,0,0,0,5,0,5,757,25,782
BIHAR,2001,Educational Standard - Holding technical degree/diploma etc,21,0,21,104,9,113,0,0,0,0,0,0,125,9,134
BIHAR,2002,Educational Standard,4959,105,5064,31159,942,32101,33,0,33,102,0,102,36253,1047,37300
BIHAR,2002,Educational Standard - Illiterate,1675,53,1728,13139,640,13779,0,0,0,41,0,41,14855,693,15548
BIHAR,2002,Educational Standard - Below Class X,2343,45,2388,12711,271,12982,12,0,12,50,0,50,15116,316,15432
BIHAR,2002,Educational Standard - Class X and above but below graduate,713,7,720,4034,22,4056,16,0,16,9,0,9,4772,29,4801
BIHAR,2002,Educational Standard - Graduate,194,0,194,1016,3,1019,4,0,4,2,0,2,1216,3,1219
BIHAR,2002,Educational Standard - Post-Graduate,23,0,23,169,4,173,1,0,1,0,0,0,193,4,197
BIHAR,2002,Educational Standard - Holding technical degree/diploma etc,11,0,11,90,2,92,0,0,0,0,0,0,101,2,103
